id,name,department,rmp_url,created_at,updated_at,course_codes
97,Justin Ho-Chung Chan,MATH,,,,"[""130""]"
96,Vijaykumar Haribansh Singh,MATH,,,,"[""100"", ""150""]"
100,Amarpreet Rattan,MATH,,,,"[""152""]"
101,Gulizar Sedanur Albayrak,MATH,,,,"[""152""]"
103,Ralf Werner Wittenberg,MATH,,,,"[""154""]"
104,Stephen Kwok-kwong Choi,MATH,,,,"[""155""]"
139,Natalie Erickson,STAT,,,,"[""336"", ""337"", ""436"", ""437"", ""438"", ""880"", ""881"", ""882""]"
107,Bradley Robert Jones,MATH,,,,"[""158""]"
108,Joanna Ruth Niezen,MATH,,,,"[""190""]"
109,Cedric Chauve,MATH,,,,"[""208w""]"
99,Jamie Thomas Mulholland,MATH,,,,"[""152"", ""232""]"
102,Randall Mitchell Pyke,MATH,,,,"[""152"", ""232""]"
111,Nils Bruin,MATH,,,,"[""240""]"
112,Nathan Ilten,MATH,,,,"[""242""]"
113,Lucas Villagra Torcomian,MATH,,,,"[""251""]"
114,Peter McDonald,MATH,,,,"[""252""]"
115,Razvan C Fetecau,MATH,,,,"[""260""]"
116,Matthew Jared DeVos,MATH,,,,"[""302"", ""308""]"
134,Owen Gerard Ward,STAT,,,,"[""240"", ""260""]"
135,Owen Ward,STAT,,,,"[""240"", ""260""]"
121,Jonathan Jedwab,MATH,,,,"[""341""]"
122,Ailene Marie MacPherson,MATH,,,,"[""348""]"
110,Brenda Davison,MATH,,,,"[""232"", ""380w""]"
123,Sandy Rutherford,MATH,,,,"[""402w""]"
130,Wei Lin,STAT,,,,"[""201"", ""270""]"
129,Sonja Isberg,STAT,,,,"[""201"", ""271""]"
137,David Craig Stenning,STAT,,,,"[""300w""]"
119,Hadar Hamid,MATH,,,,"[""336"", ""337"", ""436"", ""437"", ""486""]"
120,Natalia Bussard,MATH,,,,"[""336"", ""337"", ""436"", ""437"", ""486""]"
105,Katrina Michelle Honigs,MATH,,,,"[""157"", ""441"", ""741""]"
